2010	3	19	 	13.2832	3.115	10.1682	65.0	0.2044	0.0479	0.1564	0.1564	
2010	3	20	 	317.1894	96.5024	220.687	1580.0	0.2008	0.0611	0.1397	0.1481	
2010	3	21	 	351.5621	115.253	236.3092	1889.0	0.1861	0.061	0.1251	0.1404	
2010	3	22	 	367.9551	121.6567	246.2984	2021.0	0.1821	0.0602	0.1219	0.1289	
2010	3	23	 	336.8161	128.542	208.2741	1888.0	0.1784	0.0681	0.1103	0.1191	
2010	3	24	 	355.845	131.399	224.446	1915.0	0.1858	0.0686	0.1172	0.1165	
2010	3	25	 	806.4335	753.4209	53.0127	6572.0	0.1227	0.1146	0.0081	0.0785	
2010	3	26	 	903.9398	926.2024	-22.2626	7859.0	0.115	0.1179	-0.0028	0.0408	
2010	3	27	 	568.7654	489.4519	79.3135	4568.0	0.1245	0.1071	0.0174	0.0076	
2010	3	28	 	632.9109	528.7003	104.2106	4919.0	0.1287	0.1075	0.0212	0.0119	
2010	3	29	 	803.3682	703.6617	99.7065	6363.0	0.1263	0.1106	0.0157	0.0181	
2010	3	30	 	799.5296	721.6042	77.9254	6632.0	0.1206	0.1088	0.0117	0.0162	
2010	3	31	 	827.6039	736.4977	91.1063	6783.0	0.122	0.1086	0.0134	0.0136	
2010	4	1	 	1001.6558	824.7551	176.9007	7975.0	0.1256	0.1034	0.0222	0.0158	
2010	4	2	 	1481.8515	1239.3442	242.5072	11899.0	0.1245	0.1042	0.0204	0.0187	
2010	4	3	 	2732.0927	2038.8675	693.2253	21822.0	0.1252	0.0934	0.0318	0.0248	
2010	4	4	 	2023.286	1718.1357	305.1503	16346.0	0.1238	0.1051	0.0187	0.0236	
2010	4	5	 	2048.4549	1763.3913	285.0636	16627.0	0.1232	0.1061	0.0171	0.0225	
2010	4	6	 	1836.1736	1544.2771	291.8965	14749.0	0.1245	0.1047	0.0198	0.0185	
2010	4	7	 	1786.82	1667.406	119.414	14954.0	0.1195	0.1115	0.008	0.015	
2010	4	8	 	1173.0655	883.4402	289.6253	9095.0	0.129	0.0971	0.0318	0.0199	
2010	4	9	 	786.3483	418.0538	368.2945	5208.0	0.151	0.0803	0.0707	0.0368	
2010	4	10	 	660.2627	314.2488	346.0139	4044.0	0.1633	0.0777	0.0856	0.0627	
2010	4	11	 	567.4644	263.8753	303.5891	3660.0	0.155	0.0721	0.0829	0.0797	
2010	4	12	 	667.831	326.6221	341.209	4376.0	0.1526	0.0746	0.078	0.0822	
2010	4	13	 	752.5416	427.1074	325.4343	4952.0	0.152	0.0862	0.0657	0.0755	
2010	4	14	 	968.263	575.8676	392.3954	6679.0	0.145	0.0862	0.0588	0.0675	
2010	4	15	 	729.5972	412.1715	317.4257	4918.0	0.1484	0.0838	0.0645	0.063	
